Length=2
KeyCode=abwgdejziyklmnoprstufx42'\]30vc;hyey'yuyvyay3``o`t`c`9`q`z`s`\9qABWGDEJZIYKLMNOPRSTUFX$@"|}#)VC:HYEY"YUYVYAY#~~O~T~C~(~Q~Z~S~|(Q<>YeY'YuYvYaY3
Prompt=
ConstructPhrase=
[Data]
a	а
b	б
w	в
g	г
d	д
e	е
j	ж
z	з
i	и
y	й
k	к
l	л
m	м
n	н
o	о
p	п
r	р
s	с
t	т
u	у
f	ф
x	х
4	ч
2	ш
'	ы
\	ь
]	э
3	ә
0	ө
v	ү
c	җ
;	ң
h	һ

ye	е
y'	е
yu	ю
yv	ю
ya	я
y3	я

`	`
`e	ё
`t	ц
`2	щ
`9	ғ
`q	ҡ
`z	ҙ
`s	ҫ
`\	ъ
9	гъ
q	къ

A	А
B	Б
W	В
G	Г
D	Д
E	Е
J	Ж
Z	З
I	И
Y	Й
K	К
L	Л
M	М
N	Н
O	О
P	П
R	Р
S	С
T	Т
U	У
F	Ф
X	Х
$	Ч
@	Ш
"	Ы
|	Ь
}	Э
#	Ә
)	Ө
V	Ү
C	Җ
:	Ң
H	Һ

YE	Е
Y"	Е
YU	Ю
YV	Ю
YA	Я
Y#	Я

~	~
~E	Ё
~T	Ц
~@	Щ
~(	Ғ
~Q	Ҡ
~Z	Ҙ
~S	Ҫ
~|	Ъ
(	ГЪ
Q	КЪ

<	«
>	»

Ye	Е
Y'	Е
Yu	Ю
Yv	Ю
Ya	Я
Y3	Я
