繁体字	规范字	异体字
㑳	㑇	
㘚	㘎	
㠣	𫵷	
㥮	㤘	
㩳	㧐	
䃮	鿎	
䓣	𬜯	
䡵	𫟦	
䥑	鿏	
䥕	𬭯	
䮄	𫠊	
䰾	鲃	
䲁	鳚	
䲘	鳤	
䴉	鹮	
万		
丐		匃匄
丑		
丘		坵
丫		枒椏
丰		
乃		廼迺
乘		乗椉
乾	干	乹乾
亂	乱	
了		
云		
亘		亙
亞	亚	
亡		亾
享		亯
仆		
仇		讐讎
仙		僊
以		㕥㠯
仿		倣髣
伙		
伫		佇竚
似		佀
余		
佛		彿髴
你		妳
侃		偘
侄		妷姪
來	来	
侖	仑	崘崙
係	系	
俊		㑺儁
俔	伣	
俟		竢
俠	侠	
修		脩
俯		俛頫
倀	伥	
倆	俩	
倈	俫	
倉	仓	
個	个	箇
倏		倐儵
們	们	
借		
倦		勌
倫	伦	
假		叚
偉	伟	
偬		傯
側	侧	
偵	侦	遉
偷		媮
傖	伧	
傘	伞	𠌂繖
備	备	俻
傢	家	
傭	佣	
傳	传	
傴	伛	
債	债	
傷	伤	
傾	倾	
僂	偻	
僅	仅	
僉	佥	
僑	侨	
僕	仆	
僞	伪	
僤	𫢸	
僥	侥	儌
僨	偾	
僵		殭
價	价	
儀	仪	
儂	侬	
億	亿	
儈	侩	
儉	俭	
儐	傧	
儔	俦	
儕	侪	
儘	尽	
償	偿	
優	优	
儲	储	
儷	俪	
儺	傩	
儻	傥	
儼	俨	
克		
兒	儿	
兔		兎兔
党		
兜		兠
兩	两	
冉		冄
册		冊
再		𠕂𠕅
冒		冐
冗		宂
冢		塚
冤		𡨘寃
冥		𠖇㝠
冬		
冰		氷
冲		
决		決
况		況
净		淨
凄		淒悽
准		
凉		涼
凍	冻	
减		減
凑		湊
几		
凡		凢
凱	凯	
凳		櫈
凶		兇
出		
函		圅
刊		栞
划		
删		刪
刨		鉋鑤
别		
刮		
制		
券		劵
剃		薙鬀
剄	刭	
則	则	
剋	克	尅
剗	刬	
剛	刚	
剩		賸
剮	剐	
剴	剀	
創	创	剏剙
剿		𠞰勦
劃	划	
劇	剧	
劉	刘	
劊	刽	
劌	刿	
劍	剑	劒
劑	剂	
劫		刦刧刼
勁	劲	
動	动	働
勖		勗
務	务	
勛	勋	勳
勝	胜	
勞	劳	
勢	势	
勣	𪟝	
勤		懃
勩	勚	
勱	劢	
勵	励	
勸	劝	
匆		怱悤
匝		帀
匭	匦	
匯	汇	滙
匱	匮	
匹		疋
區	区	
千		
升		昇陞
卒		䘚
協	协	
博		愽
卜		
占		佔
卮		巵
卯		夘戼
却		㕁卻
卷		
厄		戹阨
厘		釐
厙	厍	
厠	厕	廁
厢		廂
厦		廈
厨		㕑廚
厩		廐廄
厭	厌	
厮		廝
厲	厉	
厴	厣	
參	参	㕘葠蓡
叙		敍敘
叠		㬪曡疊
叢	丛	
叩		敂
叫		呌
台		
叶		
吁		
吃		喫
合		
吊		弔
同		仝衕
后		
向		
吝		恡
吟		唫
吻		脗
呆		獃
周		週
呼		虖嘑謼
命		𠇮
和		咊龢
咏		詠
咒		呪
咤		吒
咩		𠴟
咬		齩
咱		倃𠴰偺喒
咳		欬
咸		
咼	呙	
咽		嚥
咿		吚
哄		閧鬨
員	员	
哲		喆
唄	呗	
唇		脣
唣		唕
問	问	
啓	启	唘啟
啖		啗噉
啞	哑	
啧		眥
啼		嗁
喂		餧餵
喋		啑
喑		瘖
喧		諠
喪	丧	
喬	乔	
單	单	
喲	哟	
嗆	呛	
嗇	啬	
嗊	唝	
嗎	吗	
嗚	呜	
嗥		嘷獋
嗩	唢	
嗶	哔	
嗽		𠻳
嘆	叹	歎
嘍	喽	
嘎		嘠
嘔	呕	
嘖	啧	
嘗	尝	甞嚐
嘜	唛	
嘩	哗	譁
嘮	唠	
嘯	啸	
嘰	叽	
嘵	哓	
嘸	呒	
嘻		譆
嘽	啴	
噁	恶𫫇	
噝	咝	
噠	哒	
噥	哝	
噦	哕	
噪		譟
噯	嗳	
噲	哙	
噴	喷	
噸	吨	
噹	当	
嚀	咛	
嚇	吓	
嚕	噜	
嚙	啮	齧囓
嚦	呖	
嚨	咙	
嚮	向	曏
嚲	亸	
嚳	喾	
嚴	严	
嚶	嘤	
囀	啭	
囁	嗫	
囂	嚣	
囅	冁	
囈	呓	
囉	啰	
